"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Slughorn","Harry","Ten galleons a leaf to the right buyer -- not that I?m familiar with such back alley transactions.  One hears rumors is all.  My own interests are purely academic, of course. ","ten galleons a leaf to the right buyer -- not that i?m familiar with such back alley transactions.  one hears rumors is all.  my own interests are purely academic, of course. ","ten galleons a leaf to the right buyer -- not that i?m familiar with such back alley transactions.  one hears rumors is all.  my own interests are purely academic, of course. ","ten galleons  leaf   right buyer --   ?m familiar   back alley transactions.  one hears rumors  .    interests  purely academic,  course. ","ten galleons  leaf   right buyer    m familiar   back alley transactions  one hears rumors      interests  purely academic  course ","ten galleons  leaf   right buyer    m familiar   back alley transactions  one hears rumors      interests  purely academic  course ","ten galleons leaf right buyer m familiar back alley transactions one hears rumors interests purely academic course ","ten galleon leaf right buyer m familiar back allei transact on hear rumor interest pure academ cours","ten galleon leaf right buyer be familiar back alley transaction one hear rumor interest purely academic course"
"Harry","Slughorn","Personally, these plants have always kind of freaked me out.","personally, these plants have always kind of freaked me out.","personally, these plants have always kind of freaked me out.","personally,  plants  always kind  freaked  .","personally  plants  always kind  freaked  ","personally  plants  always kind  freaked  ","personally plants always kind freaked ","person plant alwai kind freak","personally plant always kind freak"
"Slughorn","Harry","Exactly how did you get out of the castle, Harry? ","exactly how did you get out of the castle, harry? ","exactly how did you get out of the castle, harry? ","exactly    get    castle, harry? ","exactly    get    castle harry ","exactly    get    castle harry ","exactly get castle harry ","exactli get castl harri","exactly get castle harry"
"Harry","Slughorn","Through the front doors, sir.  I?m off to Hagrid?s, you see.  He?s a very dear friend and I felt like paying him a visit.  So if you don?t mind, I?ll be going.","through the front doors, sir.  i?m off to hagrid?s, you see.  he?s a very dear friend and i felt like paying him a visit.  so if you don?t mind, i?ll be going.","through the front doors, sir.  i?m off to hagrid?s, you see.  he?s a very dear friend and i felt like paying him a visit.  so if you don?t mind, i?ll be going.","  front doors, sir.  ?m   hagrid?s,  see.  ?s   dear friend   felt like paying   visit.     don?t mind, ?ll  going.","  front doors sir  m   hagrids  see  s   dear friend   felt like paying   visit     dont mind ll  going","  front doors sir  m   hagrids  see  s   dear friend   felt like paying   visit     dont mind ll  going"," front doors sir m hagrids see s dear friend felt like paying visit dont mind ll going","front door sir m hagrid see  dear friend felt like pai visit dont mind ll go","front door sir be hagrids see s dear friend feel like pay visit do mind will go"
"Slughorn","Harry","Harry!","harry!","harry!","harry!","harry","harry","harry","harri","harry"
"Harry","Slughorn","Sir?","sir?","sir?","sir?","sir","sir","sir","sir","sir"
"Slughorn","Harry","It?s nearly nightfall.  Surely you realize I can?t allow you to roam the grounds all by yourself. ","it?s nearly nightfall.  surely you realize i can?t allow you to roam the grounds all by yourself. ","it?s nearly nightfall.  surely you realize i can?t allow you to roam the grounds all by yourself. ","?s nearly nightfall.  surely  realize  can?t allow   roam  grounds   . ","s nearly nightfall  surely  realize  cant allow   roam  grounds    ","s nearly nightfall  surely  realize  cant allow   roam  grounds    ","s nearly nightfall surely realize cant allow roam grounds "," nearli nightfal sure realiz cant allow roam ground","s nearly nightfall surely realize cant allow roam ground"
"Harry","Slughorn","Well, then by all means come along, sir.","well, then by all means come along, sir.","well, then by all means come along, sir.","well,    means come along, sir.","well    means come along sir","well    means come along sir","well means come along sir","well mean come along sir","good mean come along sir"
"Slughorn","Harry","Harry, I must insist you accompany me back to the castle immediately! ","harry, i must insist you accompany me back to the castle immediately! ","harry, i must insist you accompany me back to the castle immediately! ","harry,  must insist  accompany  back   castle immediately! ","harry  must insist  accompany  back   castle immediately ","harry  must insist  accompany  back   castle immediately ","harry must insist accompany back castle immediately ","harri must insist accompani back castl immedi","harry must insist accompany back castle immediately"
"Harry","Slughorn","That would be counterproductive, sir. ","that would be counterproductive, sir. ","that would be counterproductive, sir. ","   counterproductive, sir. ","   counterproductive sir ","   counterproductive sir "," counterproductive sir ","counterproduct sir","counterproductive sir"
"Slughorn","Harry","And what makes you say that? ","and what makes you say that? ","and what makes you say that? ","  makes  say ? ","  makes  say  ","  makes  say  "," makes say ","make sai","make say"
"Harry","Slughorn","No idea. ","no idea. ","no idea. "," idea. "," idea "," idea "," idea ","idea","idea"
"Slughorn","Harry","Merlin?s beard...","merlin?s beard...","merlin?s beard...","merlin?s beard...","merlins beard","merlins beard","merlins beard","merlin beard","merlin beard"
"Slughorn","Harry","Is that an actual Acromantula? ","is that an actual acromantula? ","is that an actual acromantula? ","   actual acromantula? ","   actual acromantula ","   actual acromantula "," actual acromantula ","actual acromantula","actual acromantula"
"Harry","Slughorn","A dead one, I think, sir.","a dead one, i think, sir.","a dead one, i think, sir."," dead one,  think, sir."," dead one  think sir"," dead one  think sir"," dead one think sir","dead on think sir","dead one think sir"
"Hagrid","Slughorn , Harry","?Arry.  ?Orace. ","?arry.  ?orace. ","?arry.  ?orace. ","?arry.  ?orace. ","arry  orace ","arry  orace ","arry orace ","arri orac","arry orace"
"Slughorn","Hagrid","My god, dear man.  How did you ever manage to kill it? ","my god, dear man.  how did you ever manage to kill it? ","my god, dear man.  how did you ever manage to kill it? "," god, dear man.     ever manage  kill ? "," god dear man     ever manage  kill  "," god dear man     ever manage  kill  "," god dear man ever manage kill ","god dear man ever manag kill","god dear man ever manage kill"
"Hagrid","Slughorn","Kill ?im! Me oldest friend, ?e was! ","kill ?im! me oldest friend, ?e was! ","kill ?im! me oldest friend, ?e was! ","kill ?im!  oldest friend, ?e ! ","kill im  oldest friend e  ","kill im  oldest friend e  ","kill im oldest friend e ","kill im oldest friend e","kill im old friend e"
"Slughorn","Hagrid","I?m sorry, I... (didn?t realize.)","i?m sorry, i... (didn?t realize.)","i?m sorry, i... (didn?t realize.)","?m sorry, ... (didn?t realize.)","m sorry  didnt realize","m sorry  didnt realize","m sorry didnt realize","m sorri didnt realiz","be sorry didnt realize"
"Hagrid","Slughorn","Ah, don? worry yerself. Yer not alone.  Seriously misunderstood creatures -- spiders.  It?s the eyes, I reckon.  Unnerve people. ","ah, don? worry yerself. yer not alone.  seriously misunderstood creatures -- spiders.  it?s the eyes, i reckon.  unnerve people. ","ah, don? worry yerself. yer not alone.  seriously misunderstood creatures -- spiders.  it?s the eyes, i reckon.  unnerve people. ","ah, don? worry yerself. yer  alone.  seriously misunderstood creatures -- spiders.  ?s  eyes,  reckon.  unnerve people. ","ah don worry yerself yer  alone  seriously misunderstood creatures  spiders  s  eyes  reckon  unnerve people ","ah don worry yerself yer  alone  seriously misunderstood creatures  spiders  s  eyes  reckon  unnerve people ","ah don worry yerself yer alone seriously misunderstood creatures spiders s eyes reckon unnerve people ","ah don worri yerself yer alon serious misunderstood creatur spider  ey reckon unnerv peopl","ah don worry yerself yer alone seriously misunderstand creature spider s eye reckon unnerve people"
"Harry","Slughorn, Hagrid","Not to mention the pincers. ","not to mention the pincers. ","not to mention the pincers. ","  mention  pincers. ","  mention  pincers ","  mention  pincers "," mention pincers ","mention pincer","mention pincer"
"Hagrid","Harry","I reckon that too... How?d yeh get outta the castle anyways? ","i reckon that too... how?d yeh get outta the castle anyways? ","i reckon that too... how?d yeh get outta the castle anyways? "," reckon  ... ?d yeh get outta  castle anyways? "," reckon   d yeh get outta  castle anyways "," reckon   d yeh get outta  castle anyways "," reckon d yeh get outta castle anyways ","reckon d yeh get outta castl anywai","reckon have yeh get outta castle anyways"
"Harry","Hagrid","Through the front doors. ","through the front doors. ","through the front doors. ","  front doors. ","  front doors ","  front doors "," front doors ","front door","front door"
"Slughorn","Hagrid","Hagrid.  I wouldn?t want to be indelicate, but Acromantula venom is uncommonly rare and, well, if you wouldn?t mind my extracting a  vial or two -- purely for academic pursuits... ","hagrid.  i wouldn?t want to be indelicate, but acromantula venom is uncommonly rare and, well, if you wouldn?t mind my extracting a  vial or two -- purely for academic pursuits... ","hagrid.  i wouldn?t want to be indelicate, but acromantula venom is uncommonly rare and, well, if you wouldn?t mind my extracting a  vial or two -- purely for academic pursuits... ","hagrid.   wouldn?t want   indelicate,  acromantula venom  uncommonly rare , well,   wouldn?t mind  extracting   vial  two -- purely  academic pursuits... ","hagrid   wouldnt want   indelicate  acromantula venom  uncommonly rare  well   wouldnt mind  extracting   vial  two  purely  academic pursuits ","hagrid   wouldnt want   indelicate  acromantula venom  uncommonly rare  well   wouldnt mind  extracting   vial  two  purely  academic pursuits ","hagrid wouldnt want indelicate acromantula venom uncommonly rare well wouldnt mind extracting vial two purely academic pursuits ","hagrid wouldnt want indel acromantula venom uncommonli rare well wouldnt mind extract vial two pure academ pursuit","hagrid wouldnt want indelicate acromantula venom uncommonly rare good wouldnt mind extract vial two purely academic pursuit"
"Hagrid","Slughorn","Don? suppose it?s doin? ?im any good, izzit? ","don? suppose it?s doin? ?im any good, izzit? ","don? suppose it?s doin? ?im any good, izzit? ","don? suppose ?s doin? ?im  good, izzit? ","don suppose s doin im  good izzit ","don suppose s doin im  good izzit ","don suppose s doin im good izzit ","don suppos  doin im good izzit","don suppose s doin im good izzit"
"Slughorn","Hagrid","My thoughts exactly!  Always carry a few spare ampoules for just such occasions.  Old Potion Master?s habit, you know...","my thoughts exactly!  always carry a few spare ampoules for just such occasions.  old potion master?s habit, you know...","my thoughts exactly!  always carry a few spare ampoules for just such occasions.  old potion master?s habit, you know..."," thoughts exactly!  always carry   spare ampoules  just  occasions.  old potion master?s habit,  know..."," thoughts exactly  always carry   spare ampoules  just  occasions  old potion masters habit  know"," thoughts exactly  always carry   spare ampoules  just  occasions  old potion masters habit  know"," thoughts exactly always carry spare ampoules just occasions old potion masters habit know","thought exactli alwai carri spare ampoul just occas old potion master habit know","thought exactly always carry spare ampoule just occasion old potion master habit know"
"Hagrid","Slughorn, Harry","Wish yeh coulda seen ?im in ?is prime.  Magnificent ?e was.  Jus? magnificent... ","wish yeh coulda seen ?im in ?is prime.  magnificent ?e was.  jus? magnificent... ","wish yeh coulda seen ?im in ?is prime.  magnificent ?e was.  jus? magnificent... ","wish yeh coulda seen ?im  ? prime.  magnificent ?e .  jus? magnificent... ","wish yeh coulda seen im   prime  magnificent e   jus magnificent ","wish yeh coulda seen im   prime  magnificent e   jus magnificent ","wish yeh coulda seen im prime magnificent e jus magnificent ","wish yeh coulda seen im prime magnific e ju magnific","wish yeh coulda see im prime magnificent e ju magnificent"
"Slughorn","Hagrid","Why don?t I say a few words?  I trust he had family? ","why don?t i say a few words?  i trust he had family? ","why don?t i say a few words?  i trust he had family? "," don?t  say   words?   trust   family? "," dont  say   words   trust   family "," dont  say   words   trust   family "," dont say words trust family ","dont sai word trust famili","do say word trust family"
"Harry","Slughorn","Oh yeah.","oh yeah.","oh yeah.","oh yeah.","oh yeah","oh yeah","oh yeah","oh yeah","oh yes"
"Slughorn","Harry, Hagrid","Farewell... ","farewell... ","farewell... ","farewell... ","farewell ","farewell ","farewell ","farewel","farewell"
"Hagrid","Slughorn","Aragog","aragog","aragog","aragog","aragog","aragog","aragog","aragog","aragog"
"Slughorn","Harry, Hagrid","Farewell, Aragog, king of arachnids.  Though your body will decay, your spirit lingers on in the quiet, web-spun places of your Forest home.  May your many-eyed descendents ever flourish and your human friends find solace for the loss they have sustained. ","farewell, aragog, king of arachnids.  though your body will decay, your spirit lingers on in the quiet, web-spun places of your forest home.  may your many-eyed descendents ever flourish and your human friends find solace for the loss they have sustained. ","farewell, aragog, king of arachnids.  though your body will decay, your spirit lingers on in the quiet, web-spun places of your forest home.  may your many-eyed descendents ever flourish and your human friends find solace for the loss they have sustained. ","farewell, aragog, king  arachnids.  though  body will decay,  spirit lingers    quiet, web-spun places   forest home.  may  many-eyed descendents ever flourish   human friends find solace   loss   sustained. ","farewell aragog king  arachnids  though  body will decay  spirit lingers    quiet webspun places   forest home  may  manyeyed descendents ever flourish   human friends find solace   loss   sustained ","farewell aragog king  arachnids  though  body will decay  spirit lingers    quiet webspun places   forest home  may  manyeyed descendents ever flourish   human friends find solace   loss   sustained ","farewell aragog king arachnids though body will decay spirit lingers quiet webspun places forest home may manyeyed descendents ever flourish human friends find solace loss sustained ","farewel aragog king arachnid though bodi will decai spirit linger quiet webspun place forest home mai manyei descend ever flourish human friend find solac loss sustain","farewell aragog king arachnid though body will decay spirit linger quiet webspun place forest home may manyeyed descendent ever flourish human friend find solace loss sustain"
"Hagrid","Slughorn , Harry","Tha? was... tha? was... beautiful.","tha? was... tha? was... beautiful.","tha? was... tha? was... beautiful.","tha? ... tha? ... beautiful.","tha  tha  beautiful","tha  tha  beautiful","tha tha beautiful","tha tha beauti","tha tha beautiful"
"Hagrid/Slughorn ","","And Odo the hero, they bore him back home.. To the place he?d known as a lad, They laid him to rest with his hat inside out and his wand snapped in two, which was sad... ","and odo the hero, they bore him back home.. to the place he?d known as a lad, they laid him to rest with his hat inside out and his wand snapped in two, which was sad... ","and odo the hero, they bore him back home.. to the place he?d known as a lad, they laid him to rest with his hat inside out and his wand snapped in two, which was sad... "," odo  hero,  bore  back home..   place ?d known   lad,  laid   rest   hat inside    wand snapped  two,   sad... "," odo  hero  bore  back home   place d known   lad  laid   rest   hat inside    wand snapped  two   sad "," odo  hero  bore  back home   place d known   lad  laid   rest   hat inside    wand snapped  two   sad "," odo hero bore back home place d known lad laid rest hat inside wand snapped two sad ","odo hero bore back home place d known lad laid rest hat insid wand snap two sad","odo hero bear back home place have know lad lay rest hat inside wand snap two sad"
"Hagrid","Slughorn , Harry","I had ?im from an egg, yeh know.  Tiny little thing he was when he hatched.  No bigger?n a Pekinese. ","i had ?im from an egg, yeh know.  tiny little thing he was when he hatched.  no bigger?n a pekinese. ","i had ?im from an egg, yeh know.  tiny little thing he was when he hatched.  no bigger?n a pekinese. ","  ?im   egg, yeh know.  tiny little thing     hatched.   bigger?n  pekinese. ","  im   egg yeh know  tiny little thing     hatched   biggern  pekinese ","  im   egg yeh know  tiny little thing     hatched   biggern  pekinese "," im egg yeh know tiny little thing hatched biggern pekinese ","im egg yeh know tini littl thing hatch biggern pekines","im egg yeh know tiny little thing hatch biggern pekinese"
"Slughorn","Hagrid","Sweet.  I once had a fish.  Francis.  Lovely little thing.  One day I came downstairs and he?d vanished.  Poof. ","sweet.  i once had a fish.  francis.  lovely little thing.  one day i came downstairs and he?d vanished.  poof. ","sweet.  i once had a fish.  francis.  lovely little thing.  one day i came downstairs and he?d vanished.  poof. ","sweet.      fish.  francis.  lovely little thing.  one day  came downstairs  ?d vanished.  poof. ","sweet      fish  francis  lovely little thing  one day  came downstairs  d vanished  poof ","sweet      fish  francis  lovely little thing  one day  came downstairs  d vanished  poof ","sweet fish francis lovely little thing one day came downstairs d vanished poof ","sweet fish franci love littl thing on dai came downstair d vanish poof","sweet fish francis lovely little thing one day come downstairs have vanish poof"
"Hagrid","Slughorn","Tha?s odd.","tha?s odd.","tha?s odd.","tha?s odd.","thas odd","thas odd","thas odd","tha odd","thas odd"
"Slughorn","Harry, Hagrid","Isn?t it?  That?s life, I suppose.  One goes along and then... poof. ","isn?t it?  that?s life, i suppose.  one goes along and then... poof. ","isn?t it?  that?s life, i suppose.  one goes along and then... poof. ","isn?t ?  ?s life,  suppose.  one goes along  ... poof. ","isnt   s life  suppose  one goes along   poof ","isnt   s life  suppose  one goes along   poof ","isnt s life suppose one goes along poof ","isnt  life suppos on goe along poof","isnt s life suppose one go along poof"
"Hagrid","Slughorn , Harry","Poof.","poof.","poof.","poof.","poof","poof","poof","poof","poof"
"Harry","Slughorn, Hagrid","Poof.","poof.","poof.","poof.","poof","poof","poof","poof","poof"
"Slughorn","Hagrid","That?s never unicorn hair, Hagrid? ","that?s never unicorn hair, hagrid? ","that?s never unicorn hair, hagrid? ","?s never unicorn hair, hagrid? ","s never unicorn hair hagrid ","s never unicorn hair hagrid ","s never unicorn hair hagrid "," never unicorn hair hagrid","s never unicorn hair hagrid"
"Slughorn","Hagrid","But my dear chap, do you know how much that?s worth?","but my dear chap, do you know how much that?s worth?","but my dear chap, do you know how much that?s worth?","  dear chap,   know  much ?s worth?","  dear chap   know  much s worth","  dear chap   know  much s worth"," dear chap know much s worth","dear chap know much  worth","dear chap know much s worth"
"Hagrid","Slughorn","No idea... no idea at all... ","no idea... no idea at all... ","no idea... no idea at all... "," idea...  idea  ... "," idea  idea   "," idea  idea   "," idea idea ","idea idea","idea idea"
"Slughorn","Harry, Hagrid","It was a student who gave me Francis.  One spring afternoon I discovered a bowl upon my desk with a few inches of clear water.  There was a flower petal floating upon the surface.  As I watched, the petal sank, but just before it touched bottom... it transformed.  Into a wee fish.  It was beautiful magic, wondrous to behold.  The petal had come from a lily. ","it was a student who gave me francis.  one spring afternoon i discovered a bowl upon my desk with a few inches of clear water.  there was a flower petal floating upon the surface.  as i watched, the petal sank, but just before it touched bottom... it transformed.  into a wee fish.  it was beautiful magic, wondrous to behold.  the petal had come from a lily. ","it was a student who gave me francis.  one spring afternoon i discovered a bowl upon my desk with a few inches of clear water.  there was a flower petal floating upon the surface.  as i watched, the petal sank, but just before it touched bottom... it transformed.  into a wee fish.  it was beautiful magic, wondrous to behold.  the petal had come from a lily. ","   student  gave  francis.  one spring afternoon  discovered  bowl upon  desk    inches  clear water.     flower petal floating upon  surface.    watched,  petal sank,  just   touched bottom...  transformed.    wee fish.    beautiful magic, wondrous  behold.   petal  come   lily. ","   student  gave  francis  one spring afternoon  discovered  bowl upon  desk    inches  clear water     flower petal floating upon  surface    watched  petal sank  just   touched bottom  transformed    wee fish    beautiful magic wondrous  behold   petal  come   lily ","   student  gave  francis  one spring afternoon  discovered  bowl upon  desk    inches  clear water     flower petal floating upon  surface    watched  petal sank  just   touched bottom  transformed    wee fish    beautiful magic wondrous  behold   petal  come   lily "," student gave francis one spring afternoon discovered bowl upon desk inches clear water flower petal floating upon surface watched petal sank just touched bottom transformed wee fish beautiful magic wondrous behold petal come lily ","student gave franci on spring afternoon discov bowl upon desk inch clear water flower petal float upon surfac watch petal sank just touch bottom transform wee fish beauti magic wondrou behold petal come lili","student give francis one spring afternoon discover bowl upon desk inch clear water flower petal float upon surface watch petal sink just touch bottom transform wee fish beautiful magic wondrous behold petal come lily"
"Slughorn","Harry","Your mother.  The day I came downstairs, the day I found the bowl empty... was the day she... ","your mother.  the day i came downstairs, the day i found the bowl empty... was the day she... ","your mother.  the day i came downstairs, the day i found the bowl empty... was the day she... "," mother.   day  came downstairs,  day  found  bowl empty...   day ... "," mother   day  came downstairs  day  found  bowl empty   day  "," mother   day  came downstairs  day  found  bowl empty   day  "," mother day came downstairs day found bowl empty day ","mother dai came downstair dai found bowl empti dai","mother day come downstairs day find bowl empty day"
"Slughorn","Harry","I know what you want.  But I can?t give it to you.  It will ruin me...","i know what you want.  but i can?t give it to you.  it will ruin me...","i know what you want.  but i can?t give it to you.  it will ruin me..."," know   want.    can?t give   .   will ruin ..."," know   want    cant give      will ruin "," know   want    cant give      will ruin "," know want cant give will ruin ","know want cant give will ruin","know want cant give will ruin"
"Harry","Slughorn","Do you know why I survived?  The night I got this.","do you know why i survived?  the night i got this.","do you know why i survived?  the night i got this.","  know   survived?   night  got .","  know   survived   night  got ","  know   survived   night  got "," know survived night got ","know surviv night got","know survive night get"
"Harry","Slughorn","Because of her.  Because she sacrificed herself.  Because she refused to step aside.  Because her love was more powerful than Voldemort. ","because of her.  because she sacrificed herself.  because she refused to step aside.  because her love was more powerful than voldemort. ","because of her.  because she sacrificed herself.  because she refused to step aside.  because her love was more powerful than voldemort. ","  .    sacrificed .    refused  step aside.    love   powerful  voldemort. ","      sacrificed     refused  step aside    love   powerful  voldemort ","      sacrificed     refused  step aside    love   powerful  voldemort "," sacrificed refused step aside love powerful voldemort ","sacrif refus step asid love power voldemort","sacrifice refuse step aside love powerful voldemort"
"Slughorn","Harry","Please don?t say his -","please don?t say his -","please don?t say his -","please don?t say  -","please dont say  ","please dont say  ","please dont say ","pleas dont sai","please do say"
"Harry","Slughorn","I?m not afraid of the name, Professor.  And I?m not afraid of him.  And you shouldn?t be either.  She didn?t just die for me that night.  She died for you too.  She died for everyone who?s ever woken in the middle of the night afraid a Death Eater waited on their doorstep. ","i?m not afraid of the name, professor.  and i?m not afraid of him.  and you shouldn?t be either.  she didn?t just die for me that night.  she died for you too.  she died for everyone who?s ever woken in the middle of the night afraid a death eater waited on their doorstep. ","i?m not afraid of the name, professor.  and i?m not afraid of him.  and you shouldn?t be either.  she didn?t just die for me that night.  she died for you too.  she died for everyone who?s ever woken in the middle of the night afraid a death eater waited on their doorstep. ","?m  afraid   name, professor.   ?m  afraid  .    shouldn?t  either.   didn?t just die    night.   died   .   died  everyone ?s ever woken   middle   night afraid  death eater waited   doorstep. ","m  afraid   name professor   m  afraid      shouldnt  either   didnt just die    night   died      died  everyone s ever woken   middle   night afraid  death eater waited   doorstep ","m  afraid   name professor   m  afraid      shouldnt  either   didnt just die    night   died      died  everyone s ever woken   middle   night afraid  death eater waited   doorstep ","m afraid name professor m afraid shouldnt either didnt just die night died died everyone s ever woken middle night afraid death eater waited doorstep ","m afraid name professor m afraid shouldnt either didnt just die night di di everyon  ever woken middl night afraid death eater wait doorstep","be afraid name professor be afraid shouldnt either didnt just die night die die everyone s ever wake middle night afraid death eater wait doorstep"
"Harry","Slughorn","Professor.  I?m going to tell you something, something others have only guessed at.  It?s true.  I am the Chosen One. ","professor.  i?m going to tell you something, something others have only guessed at.  it?s true.  i am the chosen one. ","professor.  i?m going to tell you something, something others have only guessed at.  it?s true.  i am the chosen one. ","professor.  ?m going  tell  something, something others   guessed .  ?s true.     chosen one. ","professor  m going  tell  something something others   guessed   s true     chosen one ","professor  m going  tell  something something others   guessed   s true     chosen one ","professor m going tell something something others guessed s true chosen one ","professor m go tell someth someth other guess  true chosen on","professor be go tell something something other guess s true choose one"
"Harry","Slughorn","Only I can kill him.  But in order to do so, I need to know what Tom Riddle asked you that night in your office all those years ago.  And I need to know what you told him. ","only i can kill him.  but in order to do so, i need to know what tom riddle asked you that night in your office all those years ago.  and i need to know what you told him. ","only i can kill him.  but in order to do so, i need to know what tom riddle asked you that night in your office all those years ago.  and i need to know what you told him. ","  can kill .    order   ,  need  know  tom riddle asked   night   office   years ago.    need  know   told . ","  can kill     order     need  know  tom riddle asked   night   office   years ago    need  know   told  ","  can kill     order     need  know  tom riddle asked   night   office   years ago    need  know   told  "," can kill order need know tom riddle asked night office years ago need know told ","can kill order need know tom riddl ask night offic year ago need know told","can kill order need know tom riddle ask night office year ago need know tell"
"Harry","Slughorn","Be brave, Professor.  Be brave like my mother.  Otherwise you disgrace her.  Otherwise she died for nothing.  Otherwise, the bowl remains empty forever. ","be brave, professor.  be brave like my mother.  otherwise you disgrace her.  otherwise she died for nothing.  otherwise, the bowl remains empty forever. ","be brave, professor.  be brave like my mother.  otherwise you disgrace her.  otherwise she died for nothing.  otherwise, the bowl remains empty forever. "," brave, professor.   brave like  mother.  otherwise  disgrace .  otherwise  died  nothing.  otherwise,  bowl remains empty forever. "," brave professor   brave like  mother  otherwise  disgrace   otherwise  died  nothing  otherwise  bowl remains empty forever "," brave professor   brave like  mother  otherwise  disgrace   otherwise  died  nothing  otherwise  bowl remains empty forever "," brave professor brave like mother otherwise disgrace otherwise died nothing otherwise bowl remains empty forever ","brave professor brave like mother otherwis disgrac otherwis di noth otherwis bowl remain empti forev","brave professor brave like mother otherwise disgrace otherwise die nothing otherwise bowl remain empty forever"
"Slughorn","Harry","Don?t think too badly of me once you?ve seen it.  You don?t know what he was like... even then","don?t think too badly of me once you?ve seen it.  you don?t know what he was like... even then","don?t think too badly of me once you?ve seen it.  you don?t know what he was like... even then","don?t think  badly    ?ve seen .   don?t know    like... even ","dont think  badly    ve seen    dont know    like even ","dont think  badly    ve seen    dont know    like even ","dont think badly ve seen dont know like even ","dont think badli ve seen dont know like even","do think badly have see do know like even"
"Dumbledore","Harry","How is he?  Horace? ","how is he?  horace? ","how is he?  horace? ","  ?  horace? ","    horace ","    horace "," horace ","horac","horace"
"Tom Riddle ","Slughorn","Sir, is it true that Professor Merrythought is retiring? ","sir, is it true that professor merrythought is retiring? ","sir, is it true that professor merrythought is retiring? ","sir,   true  professor merrythought  retiring? ","sir   true  professor merrythought  retiring ","sir   true  professor merrythought  retiring ","sir true professor merrythought retiring ","sir true professor merrythought retir","sir true professor merrythought retire"
"Slughorn","Tom Riddle ","Now, Tom, I couldn?t tell you if I knew, could I?  I must say, m?boy, I?d like to know where you get your information.  More knowledgable than half the staff, you are. By the way, thank you for the pineapple -- you?re quite right, it is my favorite -- how is it you knew? ","now, tom, i couldn?t tell you if i knew, could i?  i must say, m?boy, i?d like to know where you get your information.  more knowledgable than half the staff, you are. by the way, thank you for the pineapple -- you?re quite right, it is my favorite -- how is it you knew? ","now, tom, i couldn?t tell you if i knew, could i?  i must say, m?boy, i?d like to know where you get your information.  more knowledgable than half the staff, you are. by the way, thank you for the pineapple -- you?re quite right, it is my favorite -- how is it you knew? ","now, tom,  couldn?t tell    knew,  ?   must say, m?boy, ?d like  know   get  information.   knowledgable  half  staff,  .   way, thank    pineapple -- ?re quite right,    favorite --     knew? ","now tom  couldnt tell    knew     must say mboy d like  know   get  information   knowledgable  half  staff     way thank    pineapple  re quite right    favorite      knew ","now tom  couldnt tell    knew     must say mboy d like  know   get  information   knowledgable  half  staff     way thank    pineapple  re quite right    favorite      knew ","now tom couldnt tell knew must say mboy d like know get information knowledgable half staff way thank pineapple re quite right favorite knew ","now tom couldnt tell knew must sai mboi d like know get inform knowledg half staff wai thank pineappl re quit right favorit knew","now tom couldnt tell know must say mboy have like know get information knowledgable half staff way thank pineapple re quite right favorite know"
"Tom Riddle ","Slughorn","Intuition.","intuition.","intuition.","intuition.","intuition","intuition","intuition","intuit","intuition"
"Slughorn","Tom Riddle ","Good gracious, is it that time already?  Off you go, boys, or Professor Dippett will have us all in detention.  Lestrange, Avery, don?t forget your essays... ","good gracious, is it that time already?  off you go, boys, or professor dippett will have us all in detention.  lestrange, avery, don?t forget your essays... ","good gracious, is it that time already?  off you go, boys, or professor dippett will have us all in detention.  lestrange, avery, don?t forget your essays... ","good gracious,    time already?    go, boys,  professor dippett will  us   detention.  lestrange, avery, don?t forget  essays... ","good gracious    time already    go boys  professor dippett will  us   detention  lestrange avery dont forget  essays ","good gracious    time already    go boys  professor dippett will  us   detention  lestrange avery dont forget  essays ","good gracious time already go boys professor dippett will us detention lestrange avery dont forget essays ","good graciou time alreadi go boi professor dippett will u detent lestrang averi dont forget essai","good gracious time already go boy professor dippett will us detention lestrange avery do forget essay"
"Slughorn","Tom Riddle ","Look sharp, Tom.  You don?t want to be caught out of bed after hours... ","look sharp, tom.  you don?t want to be caught out of bed after hours... ","look sharp, tom.  you don?t want to be caught out of bed after hours... ","look sharp, tom.   don?t want   caught   bed  hours... ","look sharp tom   dont want   caught   bed  hours ","look sharp tom   dont want   caught   bed  hours ","look sharp tom dont want caught bed hours ","look sharp tom dont want caught bed hour","look sharp tom do want catch bed hour"
"Tom Riddle ","Slughorn","I know a secret shortcut or two. ","i know a secret shortcut or two. ","i know a secret shortcut or two. "," know  secret shortcut  two. "," know  secret shortcut  two "," know  secret shortcut  two "," know secret shortcut two ","know secret shortcut two","know secret shortcut two"
"Slughorn","Tom Riddle ","Yes, I imagine you do.  Something on your mind, Tom? ","yes, i imagine you do.  something on your mind, tom? ","yes, i imagine you do.  something on your mind, tom? ","yes,  imagine  .  something   mind, tom? ","yes  imagine    something   mind tom ","yes  imagine    something   mind tom ","yes imagine something mind tom ","ye imagin someth mind tom","yes imagine something mind tom"
